project_id,project_name,ministry,sector,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,status,cost_overrun_pct,revised_cost_missing,possible_outlier,date_is_synthetic,cost_is_estimated,primary_delay_cause
100000,Roads & Highways Project 100000,Ministry of Road Transport & Highways,Roads & Highways,905.35,830.56,571.34,88.8,On Track,-8.26,False,False,True,True,
100001,Roads & Highways Project 100001,Ministry of Road Transport & Highways,Roads & Highways,426.57,437.81,147.26,49.1,Delayed,2.63,False,False,True,True,scope changes and structural revisions
100002,Roads & Highways Project 100002,Ministry of Road Transport & Highways,Roads & Highways,718.95,694.46,439.24,79.4,On Track,-3.41,False,False,True,True,
100003,Roads & Highways Project 100003,Ministry of Road Transport & Highways,Roads & Highways,971.19,972.06,495.24,66.4,On Track,0.09,False,False,True,True,
100004,Roads & Highways Project 100004,Ministry of Road Transport & Highways,Roads & Highways,430.16,399.89,270.79,85.9,On Track,-7.04,False,False,True,True,
100005,Roads & Highways Project 100005,Ministry of Road Transport & Highways,Roads & Highways,801.19,792.25,307.98,58.9,On Track,-1.12,False,False,True,True,
100006,Roads & Highways Project 100006,Ministry of Road Transport & Highways,Roads & Highways,603.33,573.01,300.36,69.6,On Track,-5.03,False,False,True,True,
100007,Roads & Highways Project 100007,Ministry of Road Transport & Highways,Roads & Highways,825.54,833.56,440.23,75.8,On Track,0.97,False,False,True,True,
100008,Roads & Highways Project 100008,Ministry of Road Transport & Highways,Roads & Highways,355.53,328.59,166.0,67.0,On Track,-7.58,False,False,True,True,
100009,Roads & Highways Project 100009,Ministry of Road Transport & Highways,Roads & Highways,999.4,945.58,321.76,41.0,Delayed,-5.39,True,False,True,True,contractual disputes and arbitration
100010,Roads & Highways Project 100010,Ministry of Road Transport & Highways,Roads & Highways,1144.54,1111.17,738.96,83.4,On Track,-2.92,False,False,True,True,
100011,Roads & Highways Project 100011,Ministry of Road Transport & Highways,Roads & Highways,412.27,393.71,311.42,98.7,On Track,-4.5,False,False,True,True,
100012,Roads & Highways Project 100012,Ministry of Road Transport & Highways,Roads & Highways,241.65,241.91,83.47,44.4,Delayed,0.11,False,False,True,True,financing tie-up delays
100013,Roads & Highways Project 100013,Ministry of Road Transport & Highways,Roads & Highways,635.66,583.75,425.41,97.8,On Track,-8.17,False,False,True,True,
100014,Roads & Highways Project 100014,Ministry of Road Transport & Highways,Roads & Highways,406.66,388.07,283.21,89.1,On Track,-4.57,False,False,True,True,
100015,Roads & Highways Project 100015,Ministry of Road Transport & Highways,Roads & Highways,2719.29,3105.02,710.92,33.2,Delayed,14.18,False,False,True,True,land acquisition delays
100016,Roads & Highways Project 100016,Ministry of Road Transport & Highways,Roads & Highways,1484.95,1463.19,648.93,46.6,Delayed,-1.47,False,False,True,True,delays in detailed engineering
100017,Roads & Highways Project 100017,Ministry of Road Transport & Highways,Roads & Highways,1406.74,1333.71,91.77,14.3,Critical,-5.19,False,False,True,True,geological surprises
100018,Roads & Highways Project 100018,Ministry of Road Transport & Highways,Roads & Highways,953.81,922.86,393.06,53.9,Delayed,-3.24,False,False,True,True,delays in detailed engineering
100019,Roads & Highways Project 100019,Ministry of Road Transport & Highways,Roads & Highways,824.06,799.08,626.49,100.0,Completed,-3.03,False,False,True,True,
100020,Roads & Highways Project 100020,Ministry of Road Transport & Highways,Roads & Highways,335.08,301.16,212.8,82.7,On Track,-10.12,False,False,True,True,
100021,Roads & Highways Project 100021,Ministry of Road Transport & Highways,Roads & Highways,415.17,420.55,176.33,50.2,Delayed,1.3,False,False,True,True,land acquisition delays
100022,Roads & Highways Project 100022,Ministry of Road Transport & Highways,Roads & Highways,719.52,668.12,120.29,26.1,Delayed,-7.14,False,False,True,True,land acquisition delays
100023,Roads & Highways Project 100023,Ministry of Road Transport & Highways,Roads & Highways,1425.17,1435.11,576.16,58.3,On Track,0.7,False,False,True,True,
100024,Roads & Highways Project 100024,Ministry of Road Transport & Highways,Roads & Highways,787.66,779.3,510.52,82.6,On Track,-1.06,False,False,True,True,
100025,Roads & Highways Project 100025,Ministry of Road Transport & Highways,Roads & Highways,1626.29,1520.65,334.76,31.6,Delayed,-6.5,False,False,True,True,forest/environment clearance delays
100026,Roads & Highways Project 100026,Ministry of Road Transport & Highways,Roads & Highways,1541.88,1497.29,858.93,56.5,On Track,-2.89,False,False,True,True,
100027,Roads & Highways Project 100027,Ministry of Road Transport & Highways,Roads & Highways,346.79,331.37,202.34,81.0,On Track,-4.45,False,False,True,True,
100028,Roads & Highways Project 100028,Ministry of Road Transport & Highways,Roads & Highways,680.8,644.14,320.26,63.2,On Track,-5.38,True,False,True,True,
100029,Roads & Highways Project 100029,Ministry of Road Transport & Highways,Roads & Highways,933.45,914.27,336.19,45.1,Delayed,-2.05,False,False,True,True,land acquisition delays
100030,Roads & Highways Project 100030,Ministry of Road Transport & Highways,Roads & Highways,360.39,376.26,132.39,48.2,Delayed,4.4,False,False,True,True,delays in detailed engineering
100031,Roads & Highways Project 100031,Ministry of Road Transport & Highways,Roads & Highways,768.43,737.57,173.75,29.3,Delayed,-4.02,False,False,True,True,land acquisition delays
100032,Roads & Highways Project 100032,Ministry of Road Transport & Highways,Roads & Highways,583.19,511.28,235.34,65.7,On Track,-12.33,False,False,True,True,
100033,Roads & Highways Project 100033,Ministry of Road Transport & Highways,Roads & Highways,597.56,627.57,373.46,71.8,On Track,5.02,False,False,True,True,
100034,Roads & Highways Project 100034,Ministry of Road Transport & Highways,Roads & Highways,612.46,600.34,302.09,57.9,On Track,-1.98,False,False,True,True,
100035,Roads & Highways Project 100035,Ministry of Road Transport & Highways,Roads & Highways,1209.93,1306.47,551.27,50.6,Delayed,7.98,False,False,True,True,delays in detailed engineering
100036,Roads & Highways Project 100036,Ministry of Road Transport & Highways,Roads & Highways,384.27,375.93,128.89,58.0,On Track,-2.17,False,False,True,True,
100037,Roads & Highways Project 100037,Ministry of Road Transport & Highways,Roads & Highways,905.14,887.51,702.02,100.0,Completed,-1.95,False,False,True,True,
100038,Roads & Highways Project 100038,Ministry of Road Transport & Highways,Roads & Highways,1287.59,1215.52,629.01,67.6,On Track,-5.6,False,False,True,True,
100039,Roads & Highways Project 100039,Ministry of Road Transport & Highways,Roads & Highways,672.57,671.36,98.87,17.8,Critical,-0.18,False,False,True,True,forest/environment clearance delays
100040,Roads & Highways Project 100040,Ministry of Road Transport & Highways,Roads & Highways,748.21,787.02,271.39,34.8,Delayed,5.19,False,False,True,True,contractual disputes and arbitration
100041,Roads & Highways Project 100041,Ministry of Road Transport & Highways,Roads & Highways,796.61,837.06,327.36,48.8,Delayed,5.08,False,False,True,True,land acquisition delays
100042,Roads & Highways Project 100042,Ministry of Road Transport & Highways,Roads & Highways,165.45,162.06,80.86,61.2,On Track,-2.05,False,False,True,True,
100043,Roads & Highways Project 100043,Ministry of Road Transport & Highways,Roads & Highways,469.76,453.9,309.31,99.8,Completed,-3.38,False,False,True,True,
100044,Roads & Highways Project 100044,Ministry of Road Transport & Highways,Roads & Highways,319.75,285.31,127.77,49.8,Delayed,-10.77,False,False,True,True,land acquisition delays
100045,Roads & Highways Project 100045,Ministry of Road Transport & Highways,Roads & Highways,450.38,474.38,292.12,74.6,On Track,5.33,False,False,True,True,
100046,Roads & Highways Project 100046,Ministry of Road Transport & Highways,Roads & Highways,2272.76,2040.86,562.37,39.2,Delayed,-10.2,False,False,True,True,land acquisition delays
100047,Roads & Highways Project 100047,Ministry of Road Transport & Highways,Roads & Highways,370.52,348.03,101.8,46.6,Delayed,-6.07,False,False,True,True,contractual disputes and arbitration
100048,Roads & Highways Project 100048,Ministry of Road Transport & Highways,Roads & Highways,598.71,622.48,129.59,25.9,Delayed,3.97,False,False,True,True,land acquisition delays
100049,Roads & Highways Project 100049,Ministry of Road Transport & Highways,Roads & Highways,428.62,426.62,284.12,88.6,On Track,-0.47,False,False,True,True,
100050,Roads & Highways Project 100050,Ministry of Road Transport & Highways,Roads & Highways,613.81,666.85,259.49,46.5,Delayed,8.64,False,False,True,True,delays in detailed engineering
100051,Roads & Highways Project 100051,Ministry of Road Transport & Highways,Roads & Highways,1482.9,1351.82,698.24,66.9,On Track,-8.84,False,False,True,True,
100052,Roads & Highways Project 100052,Ministry of Road Transport & Highways,Roads & Highways,664.8,619.72,157.44,30.6,Delayed,-6.78,False,False,True,True,land acquisition delays
100053,Roads & Highways Project 100053,Ministry of Road Transport & Highways,Roads & Highways,997.58,956.59,554.86,69.4,On Track,-4.11,False,False,True,True,
100054,Roads & Highways Project 100054,Ministry of Road Transport & Highways,Roads & Highways,465.25,414.61,95.0,38.9,Delayed,-10.88,False,False,True,True,forest/environment clearance delays
100055,Roads & Highways Project 100055,Ministry of Road Transport & Highways,Roads & Highways,792.27,769.73,410.27,74.6,On Track,-2.84,False,False,True,True,
100056,Roads & Highways Project 100056,Ministry of Road Transport & Highways,Roads & Highways,417.06,438.86,213.47,53.3,Delayed,5.23,False,False,True,True,land acquisition delays
100057,Roads & Highways Project 100057,Ministry of Road Transport & Highways,Roads & Highways,402.83,381.14,90.66,35.4,Delayed,-5.38,True,False,True,True,land acquisition delays
100058,Roads & Highways Project 100058,Ministry of Road Transport & Highways,Roads & Highways,434.07,429.95,174.26,48.3,Delayed,-0.95,False,False,True,True,scope changes and structural revisions
100059,Roads & Highways Project 100059,Ministry of Road Transport & Highways,Roads & Highways,1066.35,1059.17,531.92,70.1,On Track,-0.67,False,False,True,True,
100060,Roads & Highways Project 100060,Ministry of Road Transport & Highways,Roads & Highways,709.32,706.07,183.94,30.3,Delayed,-0.46,False,False,True,True,land acquisition delays
100061,Roads & Highways Project 100061,Ministry of Road Transport & Highways,Roads & Highways,289.74,281.79,156.09,72.9,On Track,-2.74,False,False,True,True,
100062,Roads & Highways Project 100062,Ministry of Road Transport & Highways,Roads & Highways,940.58,789.74,207.39,38.9,Delayed,-16.04,False,False,True,True,contractual disputes and arbitration
